sheet,run,gen,mejor,prom,peor
Grafo_20,2,28,53,61.75,78
Grafo_20,2,29,53,59.3625,76
Grafo_20,2,30,52,58.4625,66
Grafo_20,2,31,52,57.8125,66
Grafo_20,2,32,52,55.875,71
Grafo_20,2,33,51,53.775,60
Grafo_20,2,34,51,52.3625,55
Grafo_20,2,35,51,51.9875,54
Grafo_20,2,36,51,51.6625,52
Grafo_20,2,37,50,51.3,52
Grafo_20,2,38,50,50.9375,52
Grafo_20,2,39,50,50.775,51
Grafo_20,2,40,43,48.8375,51
Grafo_20,2,41,36,45.5375,51
Grafo_20,2,42,30,39.1,50
Grafo_20,2,43,29,36.375,52
Grafo_20,2,44,29,34.5875,48
Grafo_20,2,45,29,32.925,43
Grafo_20,2,46,28,32.1125,44
Grafo_20,2,47,28,30.625,39
Grafo_20,2,48,28,29.6375,37
Grafo_20,2,49,28,28.95,32
Grafo_20,2,50,28,28.6875,32
Grafo_20,2,51,28,29.175,37
Grafo_20,2,52,28,28.325,38
Grafo_20,2,53,28,28.0,28
Grafo_20,2,54,28,28.0,28
Grafo_20,2,55,28,28.0,28
Grafo_20,2,56,28,28.0,28
Grafo_20,2,57,28,28.0,28
Grafo_20,2,58,28,28.0,28
Grafo_20,2,59,28,28.0,28
Grafo_20,2,60,24,26.9625,28
Grafo_20,2,61,21,25.2625,28
Grafo_20,2,62,19,23.3125,28
Grafo_20,2,63,17,22.45,31
Grafo_20,2,64,17,21.2625,29
Grafo_20,2,65,16,20.075,25
Grafo_20,2,66,16,19.575,27
Grafo_20,2,67,16,18.75,32
Grafo_20,2,68,16,18.1125,22
Grafo_20,2,69,16,17.5625,21
Grafo_20,2,70,16,17.525,21
Grafo_20,2,71,16,17.4625,21
Grafo_20,2,72,16,16.725,22
Grafo_20,2,73,16,16.2875,22
Grafo_20,2,74,16,16.0,16
Grafo_20,2,75,16,16.0,16
Grafo_20,2,76,16,16.0,16
Grafo_20,2,77,16,16.0,16
Grafo_20,2,78,16,16.0,16
Grafo_20,2,79,16,16.0,16
Grafo_20,2,80,13,15.4125,16
Grafo_20,2,81,11,14.2125,16
Grafo_20,2,82,10,13.0625,16
Grafo_20,2,83,8,12.4125,21
Grafo_20,2,84,8,11.5375,19
Grafo_20,2,85,8,11.0375,17
Grafo_20,2,86,8,11.3,17
Grafo_20,2,87,8,11.0875,16
Grafo_20,2,88,8,10.5,15
Grafo_20,2,89,8,10.4,16
Grafo_20,2,90,8,10.625,18
Grafo_20,2,91,8,10.075,16
Grafo_20,2,92,8,9.7625,17
Grafo_20,2,93,8,10.4625,16
Grafo_20,2,94,8,10.1375,15
Grafo_20,2,95,8,9.425,17
Grafo_20,2,96,8,9.2625,17
Grafo_20,2,97,8,8.725,17
Grafo_20,2,98,8,8.125,14
Grafo_20,2,99,8,8.0,8
Grafo_20,2,100,6,7.7875,10
Grafo_20,2,101,6,7.1875,9
Grafo_20,2,102,5,6.5,10
Grafo_20,2,103,5,6.15,12
Grafo_20,2,104,5,5.6625,8
Grafo_20,2,105,5,5.3375,7
Grafo_20,2,106,5,5.2,7
Grafo_20,2,107,5,5.475,11
Grafo_20,2,108,5,5.3875,10
Grafo_20,2,109,5,5.0875,7
Grafo_20,2,110,5,5.125,7
Grafo_20,2,111,5,5.05,6
Grafo_20,2,112,5,5.0625,6
Grafo_20,2,113,5,5.075,7
Grafo_20,2,114,4,5.0875,6
Grafo_20,2,115,4,5.0375,7
Grafo_20,2,116,4,5.3125,11
Grafo_20,2,117,4,5.275,8
Grafo_20,2,118,4,5.8875,11
Grafo_20,2,119,4,5.8125,11
Grafo_20,2,120,3,5.15,8
Grafo_20,2,121,3,5.0375,9
Grafo_20,2,122,3,5.7125,11
Grafo_20,2,123,3,5.55,12
Grafo_20,2,124,2,5.3875,13
Grafo_20,2,125,2,4.8,9
Grafo_20,2,126,2,3.9125,9
Grafo_20,2,127,2,3.1375,8
Grafo_20,2,128,2,2.6125,9
Grafo_20,2,129,2,2.1375,4
Grafo_20,2,130,2,2.0,2
Grafo_20,2,131,2,2.0,2
Grafo_20,2,132,2,2.0,2
Grafo_20,2,133,2,2.0,2
Grafo_20,2,134,2,2.0,2
Grafo_20,2,135,2,2.0,2
Grafo_20,2,136,2,2.0,2
Grafo_20,2,137,2,2.0,2
Grafo_20,2,138,2,2.0,2
Grafo_20,2,139,2,2.0,2
Grafo_20,2,140,1,1.9375,2
Grafo_20,2,141,0,1.8375,2
Grafo_20,3,0,130,130.0,130
Grafo_20,3,1,130,130.0,130
Grafo_20,3,2,130,130.0,130
Grafo_20,3,3,130,130.0,130
Grafo_20,3,4,130,130.0,130
Grafo_20,3,5,130,130.0,130
Grafo_20,3,6,130,130.0,130
Grafo_20,3,7,130,130.0,130
Grafo_20,3,8,130,130.0,130
Grafo_20,3,9,130,130.0,130
Grafo_20,3,10,130,130.0,130
Grafo_20,3,11,130,130.0,130
Grafo_20,3,12,130,130.0,130
Grafo_20,3,13,130,130.0,130
Grafo_20,3,14,130,130.0,130
Grafo_20,3,15,130,130.0,130
Grafo_20,3,16,130,130.0,130
Grafo_20,3,17,130,130.0,130
Grafo_20,3,18,130,130.0,130
Grafo_20,3,19,130,130.0,130
Grafo_20,3,20,114,124.5375,130
Grafo_20,3,21,96,116.35,130
Grafo_20,3,22,67,105.125,130
Grafo_20,3,23,56,84.125,116
Grafo_20,3,24,56,71.2375,115
Grafo_20,3,25,56,64.55,86
Grafo_20,3,26,55,61.575,83
Grafo_20,3,27,53,59.1625,70
Grafo_20,3,28,53,57.025,67
Grafo_20,3,29,53,55.3,62
Grafo_20,3,30,51,54.325,59
Grafo_20,3,31,51,53.55,59
Grafo_20,3,32,51,53.275,57
Grafo_20,3,33,51,52.9,57
Grafo_20,3,34,51,52.7,53
Grafo_20,3,35,51,55.85,84
Grafo_20,3,36,51,52.7375,69
Grafo_20,3,37,51,51.575,53
Grafo_20,3,38,51,51.0,51
Grafo_20,3,39,51,51.0,51
Grafo_20,3,40,44,49.475,51
Grafo_20,3,41,35,46.225,51
Grafo_20,3,42,32,41.9375,51
Grafo_20,3,43,28,37.425,49
Grafo_20,3,44,28,34.9875,41
Grafo_20,3,45,28,33.8625,41
Grafo_20,3,46,28,32.2,40
Grafo_20,3,47,27,31.025,39
Grafo_20,3,48,27,29.8625,33
Grafo_20,3,49,27,28.9875,36
Grafo_20,3,50,27,28.0,36
Grafo_20,3,51,27,27.3125,28
Grafo_20,3,52,27,27.125,28
Grafo_20,3,53,27,27.05,28
Grafo_20,3,54,27,27.0625,28
Grafo_20,3,55,27,27.0625,28
Grafo_20,3,56,27,27.05,28
Grafo_20,3,57,27,27.025,28
Grafo_20,3,58,27,27.025,28
Grafo_20,3,59,27,27.0,27
Grafo_20,3,60,22,26.2375,27
Grafo_20,3,61,19,23.975,27
Grafo_20,3,62,16,22.05,29
Grafo_20,3,63,16,20.0625,26
Grafo_20,3,64,16,18.8,24
Grafo_20,3,65,14,17.55,21
Grafo_20,3,66,14,16.625,20
Grafo_20,3,67,14,15.7125,18
Grafo_20,3,68,14,15.075,16
Grafo_20,3,69,14,14.3875,18
Grafo_20,3,70,14,14.05,16
Grafo_20,3,71,14,14.0,14
Grafo_20,3,72,14,14.0,14
Grafo_20,3,73,14,14.0,14
Grafo_20,3,74,14,14.0,14
Grafo_20,3,75,14,14.0,14
Grafo_20,3,76,14,14.0,14
Grafo_20,3,77,14,14.0,14
Grafo_20,3,78,14,14.0,14
Grafo_20,3,79,14,14.0,14
Grafo_20,3,80,12,13.55,14
Grafo_20,3,81,10,12.8125,14
Grafo_20,3,82,10,11.9125,17
Grafo_20,3,83,10,11.35,16
Grafo_20,3,84,9,10.9875,15
Grafo_20,3,85,9,10.5875,14
Grafo_20,3,86,9,10.1375,13
Grafo_20,3,87,9,9.9875,14
Grafo_20,3,88,9,9.7375,13
Grafo_20,3,89,9,9.45,12
Grafo_20,3,90,9,9.1125,10
Grafo_20,3,91,9,9.0375,11
Grafo_20,3,92,9,9.0,9
Grafo_20,3,93,9,9.0,9
Grafo_20,3,94,9,9.0,9
Grafo_20,3,95,9,9.0625,11
Grafo_20,3,96,9,9.025,10
Grafo_20,3,97,9,9.0125,10
Grafo_20,3,98,9,9.0375,11
Grafo_20,3,99,9,9.05,11
Grafo_20,3,100,7,8.75,9
Grafo_20,3,101,6,8.375,11
Grafo_20,3,102,6,7.7875,12
Grafo_20,3,103,6,7.2,12
Grafo_20,3,104,6,6.375,11
Grafo_20,3,105,6,6.125,8
Grafo_20,3,106,6,6.15,8
Grafo_20,3,107,6,6.125,7
Grafo_20,3,108,6,6.075,8
Grafo_20,3,109,6,6.025,7
Grafo_20,3,110,6,6.0375,7
Grafo_20,3,111,6,6.125,12
Grafo_20,3,112,6,6.0,6
Grafo_20,3,113,6,6.0,6
Grafo_20,3,114,6,6.0125,7
Grafo_20,3,115,6,6.0,6
Grafo_20,3,116,6,6.0,6
Grafo_20,3,117,6,6.0125,7
Grafo_20,3,118,6,6.0,6
Grafo_20,3,119,6,6.0125,7
Grafo_20,3,120,5,5.8625,6
Grafo_20,3,121,3,5.5375,6
Grafo_20,3,122,3,5.325,10
Grafo_20,3,123,3,4.6875,7
Grafo_20,3,124,3,4.325,9
Grafo_20,3,125,3,3.625,5
Grafo_20,3,126,3,3.1625,5
Grafo_20,3,127,3,3.0,3
Grafo_20,3,128,3,3.0,3
Grafo_20,3,129,3,3.0,3
Grafo_20,3,130,3,3.0,3
Grafo_20,3,131,3,3.0,3
Grafo_20,3,132,3,3.0,3
Grafo_20,3,133,3,3.0,3
Grafo_20,3,134,3,3.0,3
Grafo_20,3,135,3,3.0,3
Grafo_20,3,136,3,3.0,3
Grafo_20,3,137,3,3.0,3
Grafo_20,3,138,3,3.0,3
Grafo_20,3,139,3,3.0,3
Grafo_20,3,140,2,2.9125,3
Grafo_20,3,141,2,2.7125,3
Grafo_20,3,142,1,3.25,11
Grafo_20,3,143,1,3.1125,7
Grafo_20,3,144,0,2.7875,8
Grafo_20,4,0,130,130.0,130
Grafo_20,4,1,130,130.0,130
Grafo_20,4,2,130,130.0,130
Grafo_20,4,3,130,130.0,130
Grafo_20,4,4,130,130.0,130
Grafo_20,4,5,130,130.0,130
Grafo_20,4,6,130,130.0,130
Grafo_20,4,7,130,130.0,130
Grafo_20,4,8,130,130.0,130
Grafo_20,4,9,130,130.0,130
Grafo_20,4,10,130,130.0,130
Grafo_20,4,11,130,130.0,130
Grafo_20,4,12,130,130.0,130
Grafo_20,4,13,130,130.0,130
Grafo_20,4,14,130,130.0,130
Grafo_20,4,15,130,130.0,130
Grafo_20,4,16,130,130.0,130
Grafo_20,4,17,130,130.0,130
Grafo_20,4,18,130,130.0,130
Grafo_20,4,19,130,130.0,130
Grafo_20,4,20,114,126.1125,130
Grafo_20,4,21,94,120.775,130
Grafo_20,4,22,61,106.8125,130
Grafo_20,4,23,59,88.275,130
Grafo_20,4,24,58,72.625,101
Grafo_20,4,25,57,63.95,84
Grafo_20,4,26,55,62.5125,86
Grafo_20,4,27,55,63.1,94
Grafo_20,4,28,53,63.0375,98
Grafo_20,4,29,53,63.15,92
Grafo_20,4,30,53,60.25,82
Grafo_20,4,31,53,59.4375,90
Grafo_20,4,32,52,57.175,77
Grafo_20,4,33,52,54.9625,80
Grafo_20,4,34,52,53.05,57
Grafo_20,4,35,52,52.4875,53
Grafo_20,4,36,49,52.1,53
Grafo_20,4,37,49,51.7625,53
Grafo_20,4,38,49,51.425,53
Grafo_20,4,39,49,50.6375,52
Grafo_20,4,40,43,48.5,51
Grafo_20,4,41,36,45.4125,51
Grafo_20,4,42,32,40.55,51
Grafo_20,4,43,31,36.5125,44
Grafo_20,4,44,29,33.8125,42
Grafo_20,4,45,29,32.6625,45
Grafo_20,4,46,29,31.3875,37
Grafo_20,4,47,26,30.0875,36
Grafo_20,4,48,25,29.2625,32
Grafo_20,4,49,25,28.7875,33
Grafo_20,4,50,25,27.5625,31
Grafo_20,4,51,25,26.425,30
Grafo_20,4,52,25,25.725,28
Grafo_20,4,53,23,25.3125,27
Grafo_20,4,54,23,24.8375,26
Grafo_20,4,55,23,24.275,25
Grafo_20,4,56,23,23.425,25
Grafo_20,4,57,23,23.05,25
Grafo_20,4,58,23,23.0,23
Grafo_20,4,59,23,23.0,23
Grafo_20,4,60,19,22.3625,23
Grafo_20,4,61,17,20.85,23
Grafo_20,4,62,16,19.375,29
Grafo_20,4,63,16,18.7875,27
Grafo_20,4,64,15,17.975,25
Grafo_20,4,65,15,17.75,26
Grafo_20,4,66,14,17.2125,26
Grafo_20,4,67,14,17.3,26
Grafo_20,4,68,13,16.925,24
Grafo_20,4,69,13,15.9375,21
Grafo_20,4,70,13,15.3375,20
Grafo_20,4,71,13,14.0625,17
Grafo_20,4,72,13,13.225,15
Grafo_20,4,73,13,13.0,13
Grafo_20,4,74,13,13.0,13
Grafo_20,4,75,13,13.0,13
Grafo_20,4,76,13,13.0,13
Grafo_20,4,77,13,13.0,13
Grafo_20,4,78,13,13.0,13
Grafo_20,4,79,13,13.0,13
Grafo_20,4,80,10,12.6375,13
Grafo_20,4,81,9,12.0625,13
Grafo_20,4,82,8,11.4875,18
Grafo_20,4,83,7,10.5125,21
Grafo_20,4,84,7,9.9375,18
Grafo_20,4,85,7,9.4125,17
Grafo_20,4,86,7,9.0875,17
Grafo_20,4,87,7,8.7125,13
Grafo_20,4,88,7,8.5875,14
Grafo_20,4,89,7,8.825,14
Grafo_20,4,90,7,8.2875,13
Grafo_20,4,91,7,7.525,13
Grafo_20,4,92,7,7.0,7
Grafo_20,4,93,7,7.0,7
Grafo_20,4,94,7,7.0,7
Grafo_20,4,95,7,7.0,7
Grafo_20,4,96,7,7.0,7
Grafo_20,4,97,7,7.0,7
Grafo_20,4,98,7,7.0,7
Grafo_20,4,99,7,7.0,7
Grafo_20,4,100,5,6.85,7
Grafo_20,4,101,4,6.55,7
Grafo_20,4,102,4,6.4375,17
Grafo_20,4,103,4,5.55,11
Grafo_20,4,104,4,4.8625,12
Grafo_20,4,105,3,4.25,7
Grafo_20,4,106,3,4.05,7
Grafo_20,4,107,3,3.875,6
Grafo_20,4,108,3,3.5125,6
Grafo_20,4,109,3,3.0875,4
Grafo_20,4,110,3,3.0,3
Grafo_20,4,111,3,3.0,3
